slno,state,confirm,cured,death,total
1,Andaman and Nicobar Islands,10751,10622,129,21502
2,Andhra Pradesh,2339287,2324439,14733,4678459
3,Arunachal Pradesh,66891,66595,296,133782
4,Assam,746104,738068,8035,1492207
5,Bihar,851508,839158,12303,1702969
6,Chandigarh,99577,98252,1183,199012
7,Chhattisgarh,1178043,1163705,14148,2355896
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,23182
9,Delhi,2011555,1983312,26533,4021400
10,Goa,260403,255594,4014,520011
11,Gujarat,1283430,1270154,11056,2564640
12,Haryana,1058352,1046773,10716,2115841
13,Himachal Pradesh,315331,309621,4217,629169
14,Jammu and Kashmir,479831,474889,4786,959506
15,Jharkhand,442649,437276,5332,885257
16,Karnataka,4078419,4036682,40326,8155427
17,Kerala,6840554,6762094,71642,13674290
18,Ladakh,29464,29209,231,58904
19,Lakshadweep,11415,11363,52,22830
20,Madhya Pradesh,1055202,1044299,10777,2110278
21,Maharashtra,8146301,7994060,148449,16288810
22,Manipur,139929,137775,2149,279853
23,Meghalaya,96793,95166,1625,193584
24,Mizoram,238970,238243,726,477939
25,Nagaland,35988,35206,782,71976
26,Odisha,1337181,1327631,9205,2674017
27,Puducherry,176130,174048,1977,352155
28,Punjab,786442,765526,19293,1571261
29,Rajasthan,1316192,1306339,9664,2632195
30,Sikkim,44362,43842,500,88704
31,Tamil Nadu,3597502,3558366,38050,7193918
32,Telangana,842578,838328,4111,1685017
33,Tripura,108034,107094,940,216068
34,Uttarakhand,449746,441894,7756,899396
35,Uttar Pradesh,2129396,2105106,23650,4258152
36,West Bengal,2119098,2097396,21533,4238027
